"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"SYSW","SYSWIN Inc.","0.6479","6219840","n/a","2010","Finance","Real Estate","http://www.nasdaq.com/symbol/sysw",
"TWN","Taiwan Fund, Inc. (The)","14.87","276210250","n/a","1986","n/a","n/a","http://www.nasdaq.com/symbol/twn",
"TSM","Taiwan Semiconductor Manufacturing Company Limited","13.97","15259612610","n/a","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/tsm",
"TOT","TotalFinaElf, S.A.","51.86","10954958260","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tot",
"TOWR","Tower International, Inc.","11.18","220055940","n/a","2010","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/towr",
"TW","Towers Watson & Co","60.49","3212926350","n/a","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/tw",
"TM","Toyota Motor Corp Ltd Ord","71.4","3100759200","n/a","1979","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/tm",
"TAC","TransAlta Corporation","19.98","4402473120","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/tac",
"TAI","Transamerica Income Shares, Inc.","21.884","138284996","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tai",
"TRH","Transatlantic Holdings, Inc.","55.07","3394790150","n/a","1990","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/trh",
"TRP","Transcanada Pipelines, Ltd.","41.28","28740333120","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/trp",
"TCI","Transcontinental Realty Investors, Inc.","2.5401","21369861.3","n/a","1974","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/tci",
"UBS","UBS AG","13.7","0","n/a","1990","Finance","Major Banks","http://www.nasdaq.com/symbol/ubs",
"UBS^D","UBS AG","12.85","154200000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ubs^d",
"UN","Unilever NV","32.83","9394206010","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/un",
"UL","Unilever PLC","32.03","4345958520","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/ul",
"UNP","Union Pacific Corporation","112.84","54510408680","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/unp",
"UNS","UniSource Energy Corporation","37.08","1369104840","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/uns",
"UIS","Unisys Corporation","20.13","873642000","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/uis",
"UIS^A","Unisys Corporation","62.36","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/uis^a",
"IN","UNOVA, Inc.","7.87","469972790","n/a","1999","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/in",
"UNM","Unum Group","22.77","6657492600","n/a","1986","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/unm",
"URS","URS Corporation","40","3184640000","n/a","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/urs",
"UBA","Urstadt Biddle Properties Inc.","18.74","392659220","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/uba",
"UBP","Urstadt Biddle Properties Inc.","16.8935","149473688","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ubp",
"UBP^C","Urstadt Biddle Properties Inc.","102.0101","40804040","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ubp^c",
"UBP^D","Urstadt Biddle Properties Inc.","25.5","62475000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ubp^d",
"VMW","Vmware, Inc.","88.12","10766413480","n/a","2007","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/vmw",
"WFT","Weatherford International, Ltd","16.54","12472284720","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wft",
"WBS","Webster Financial Corporation","21.02","1839313060","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wbs",
"WBS/WS","Webster Financial Corporation","9.73","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wbs/ws",
"WCG","WellCare Helath Plans, Inc.","58.7","2512066500","n/a","1999","Health Care","Hospital And Medical Service Plans","http://www.nasdaq.com/symbol/wcg",
"WLP","WellPoint Inc.","71.78","24969462580","n/a","1993","Health Care","Hospital And Medical Service Plans","http://www.nasdaq.com/symbol/wlp",
"BWF","WellsFargo & Company","26.38","1661940000","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bwf",
"WIT","Wipro Limited","10.92","455757120","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/wit",
"AUY","Yamana Gold, Inc.","15.34","11439038000","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/auy",
"ZA","Zuoan Fashion Limited","4.19","32183390","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/za",
"ZF","Zweig Fund, Inc. (The)","3.08","283224480","n/a","1986","n/a","n/a","http://www.nasdaq.com/symbol/zf",
"ZTR","Zweig Total Return Fund, Inc. (The)","3.15","453899250","n/a","1988","n/a","n/a","http://www.nasdaq.com/symbol/ztr",
"AMZN","Amazon.com, Inc.","190.93","86826181220","n/a","1997","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/amzn",
"AMBT","Ambient Corporation","6.13","101322770","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ambt",
"AMCX","AMC Networks Inc.","41.82","2439193320","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/amcx",
"AMED","Amedisys Inc","9.92","292005120","n/a","1987","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amed",
"AMSF","AMERISAFE, Inc.","23.34","421683780","n/a","2005","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","2.08","44112640","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv",
